"nta_name","nta_code","total_pop","female","hispanic","white","black","other","foreign_born","limited_eng","education","poverty","unemployment","preterm_births","smm","gonorrhea","health_ins","medicaid_enroll","late_no_prenatal_care","clinics","community_health_centers","non_pcmd","clinics_and_chc_count","clinics_and_chc_density","non_pcmd_density"
"Claremont-Bathgate","BX01",33205,56.3,55.4,1,42.4,1.2,26.3,26,39.9,50.6,21.7,11.2,332.3,347.8,87.7,66.1,13,2,0,80,2,0.602318927872308,24.0927571148923
"Eastchester-Edenwald-Baychester","BX03",35367,56,24.2,3.6,68.8,3.5,36.4,8.6,19.6,18,14.4,12.1,386.4,226.2,89.2,36.1,14.3,0,0,2,0,0,0.565498911414596
"Bedford Park-Fordham North","BX05",53362,51.5,71.7,7,15.7,5.6,40.5,34.5,34.1,33.5,16.2,9.1,290.4,219.3,82.2,56.3,10.4,1,1,83,2,0.374798545781642,15.5541396499382
"Belmont","BX06",27395,54,60.3,21.1,15.1,3.5,32.5,30,39.1,46.1,12,9.8,306.5,208.1,83,51,10,1,0,38,1,0.365030114984486,13.8711443694105
"Bronxdale","BX07",35587,50.2,51.3,11.9,30.4,6.6,38,26.6,27,25.8,14.6,10.6,282.7,236,81.6,46.5,12.3,0,0,17,0,0,4.77702531823419
"West Farms-Bronx River","BX08",36844,50.8,66.2,2.3,24.6,6.9,37.9,31.8,38.3,34.8,14.2,9.8,317.2,195.4,78.4,48.8,13.3,0,0,2,0,0,0.542829225925524
"Soundview-Castle Hill-Clason Point-Harding Park","BX09",55256,55.4,58.1,1.7,36.6,3.7,21.9,19.9,25.9,27.6,11.9,11.7,334.2,215.4,89.4,43.6,13.3,2,1,9,3,0.542927464890691,1.62878239467207
"Pelham Bay-Country Club-City Island","BX10",26963,53.9,30.7,61.2,2.7,5.5,16.5,10.5,17.4,10.3,9.3,8.5,172.9,38.9,93.3,19.4,5.1,1,0,33,1,0.370878611430479,12.2389941772058
"Co-op City","BX13",47442,55.4,30.2,8,58.9,2.9,26.1,10.4,16,10.1,12.4,12.7,325.3,107.5,92.5,20.7,12.5,1,0,20,1,0.21078369377345,4.21567387546899
"East Concourse-Concourse Village","BX14",64821,53,61.3,1.4,34.2,3.1,37.8,33.4,38.9,35.9,15.3,9.5,309.7,239.1,84,55.2,11.7,2,1,28,3,0.462812977275883,4.31958778790824
"East Tremont","BX17",43878,53.4,69.5,1.6,26.9,2,30.7,27.1,40.9,45.3,23.3,11,284.1,256.4,84.7,62.4,11.5,6,0,392,6,1.36742786817995,89.3386207210903
"North Riverdale-Fieldston-Riverdale","BX22",27264,54.3,19.7,64.4,6.6,9.4,21.4,9.4,8,8.5,7.5,7.8,139.4,25.7,94.7,13,2.7,1,0,23,1,0.366784037558685,8.43603286384977
