"nta_name","nta_code","total_pop","female","hispanic","white","black","other","foreign_born","limited_eng","education","poverty","unemployment","preterm_births","smm","gonorrhea","health_ins","medicaid_enroll","late_no_prenatal_care","clinics","community_health_centers","non_pcmd","clinics_and_chc_count","clinics_and_chc_density","non_pcmd_density"
"Bushwick North","BK77",63458,49.6,71.7,12.1,9.5,6.8,42.8,43.4,45.9,31,13.3,8.7,320.3,217.5,69.2,34.2,7.2,4,0,107,4,0.630338176431656,16.8615462195468
"Bushwick South","BK78",75202,52.2,59,11.6,25,4.4,30.2,24.9,34.2,27.8,15,9.6,331,320.5,80.3,39.6,7.8,2,0,164,2,0.265950373660275,21.8079306401426
"Ocean Hill","BK79",32427,55.6,16.9,2.2,78.2,2.8,29.6,9.1,26.8,30,13.1,14,494.3,379.3,85.9,45.7,11.4,0,0,4,0,0,1.23353995127517
"Brownsville","BK81",61161,59.2,18.7,0.9,78.2,2.1,27.7,8.2,27.2,40,15.1,15,506,392.4,87.5,54.4,9.9,1,1,21,2,0.32700577165187,3.43356060234463
"East New York","BK82",91139,55.5,27,1.8,67.8,3.5,29.2,9.9,22.1,33.2,13.9,12.6,454.6,301.7,89,51.4,9.8,2,1,39,3,0.329167535303218,4.27917795894184
"Cypress Hills-City Line","BK83",47199,52.2,60.4,5,25.9,8.8,46.1,24,28.5,30.2,8.6,9.4,286.6,140.9,84.5,52,8.6,0,0,5,0,0,1.05934447763724
"East New York (Pennsylvania Ave)","BK85",30594,55.2,28.1,1.7,69.1,1.2,34.7,9.3,29.2,39.4,16.3,13,442.7,338.3,86,48.9,11.5,1,0,12,1,0.326861476106426,3.92233771327711
"Borough Park","BK88",109422,49,10.3,75.6,0.6,13.5,28.8,36,28.5,37.3,6.3,5.4,100.6,15.5,90.1,65.7,2.3,3,0,472,3,0.274167900422219,43.135749666429
"East Williamsburg","BK90",34105,52.3,31.9,44.9,9.2,13.9,26.3,23.1,22.3,20.2,8.4,7.4,177,285.9,85.1,29.3,4.6,1,1,21,2,0.586424277965108,6.15745491863363
"East Flatbush-Farragut","BK91",51723,56.3,5.8,1.8,89.1,3.2,53.6,9.7,12.5,12.4,10.2,15.1,519.1,209.8,88.1,30.5,12.9,1,1,600,2,0.386675173520484,116.002552056145
"Starrett City","BK93",12854,59.2,21.8,24.8,49.1,4.3,30.9,21.9,20.5,32,15.6,11.5,332.8,136.1,95.2,47.1,6,0,0,0,0,0,0
"Erasmus","BK95",28357,54.9,11,1.4,84.2,3.4,54.5,12.6,19.2,23,14.3,13.9,532.3,282.1,82.3,41.3,14.5,1,0,20,1,0.352646612829284,7.05293225658568
"Rugby-Remsen Village","BK96",55669,55.9,5.6,1.3,90.6,2.5,50.8,5.4,17.6,18.6,11.4,12.9,434.4,254.2,84.6,34.5,12.5,1,0,232,1,0.179633189028005,41.6748998544971
