"total_pop","female","hispanic","white","black","other","foreign_born","limited_eng","education","poverty","unemployment","health_ins","medicaid_enroll","late_no_prenatal_care","clinics_and_chc_density","non_pcmd_density"
51723,56.3,5.8,1.8,89.1,3.2,53.6,9.7,12.5,12.4,10.2,88.1,30.5,12.9,0.386675173520484,116.002552056145
12854,59.2,21.8,24.8,49.1,4.3,30.9,21.9,20.5,32,15.6,95.2,47.1,6,0,0
28357,54.9,11,1.4,84.2,3.4,54.5,12.6,19.2,23,14.3,82.3,41.3,14.5,0.352646612829284,7.05293225658568
55669,55.9,5.6,1.3,90.6,2.5,50.8,5.4,17.6,18.6,11.4,84.6,34.5,12.5,0.179633189028005,41.6748998544971
33205,56.3,55.4,1,42.4,1.2,26.3,26,39.9,50.6,21.7,87.7,66.1,13,0.602318927872308,24.0927571148923
35367,56,24.2,3.6,68.8,3.5,36.4,8.6,19.6,18,14.4,89.2,36.1,14.3,0,0.565498911414596
53362,51.5,71.7,7,15.7,5.6,40.5,34.5,34.1,33.5,16.2,82.2,56.3,10.4,0.374798545781642,15.5541396499382
27395,54,60.3,21.1,15.1,3.5,32.5,30,39.1,46.1,12,83,51,10,0.365030114984486,13.8711443694105
35587,50.2,51.3,11.9,30.4,6.6,38,26.6,27,25.8,14.6,81.6,46.5,12.3,0,4.77702531823419
36844,50.8,66.2,2.3,24.6,6.9,37.9,31.8,38.3,34.8,14.2,78.4,48.8,13.3,0,0.542829225925524
55256,55.4,58.1,1.7,36.6,3.7,21.9,19.9,25.9,27.6,11.9,89.4,43.6,13.3,0.542927464890691,1.62878239467207
26963,53.9,30.7,61.2,2.7,5.5,16.5,10.5,17.4,10.3,9.3,93.3,19.4,5.1,0.370878611430479,12.2389941772058
47442,55.4,30.2,8,58.9,2.9,26.1,10.4,16,10.1,12.4,92.5,20.7,12.5,0.21078369377345,4.21567387546899
64821,53,61.3,1.4,34.2,3.1,37.8,33.4,38.9,35.9,15.3,84,55.2,11.7,0.462812977275883,4.31958778790824
43878,53.4,69.5,1.6,26.9,2,30.7,27.1,40.9,45.3,23.3,84.7,62.4,11.5,1.36742786817995,89.3386207210903
27264,54.3,19.7,64.4,6.6,9.4,21.4,9.4,8,8.5,7.5,94.7,13,2.7,0.366784037558685,8.43603286384977
38793,52.7,65,1.5,32.5,1,37.4,32.3,35.9,43,18.4,85.3,59.4,11.9,0,0.515556930374036
26780,51.9,74,1,23.3,1.7,28.2,33.8,41.4,42.7,18.3,82.7,59.2,13.3,0.746825989544436,12.6960418222554
49787,52.5,65.2,9.7,19.6,5.5,40.2,29.1,27.5,26.2,16.3,81.9,46.5,9.1,0,1.00427822523952
31434,52.1,37.4,46.6,8.6,7.4,26.7,15,12.9,11.5,8.1,92,22.5,5.2,0.636253737990711,21.3145002226888
30088,53.9,71.9,2.6,19.1,6.5,43.7,33.9,32.5,32.5,16.2,80.9,60.1,10.4,0.332358415315076,22.2680138261101
33848,52.3,31.4,26,31.3,11.3,34.9,14.4,21.7,12.9,14.1,90.9,27.7,12.1,0.295438430631057,14.4764831009218
27438,52,74.5,1.3,22.6,1.6,31.9,36,43.7,38.5,12.7,83.5,60.1,13.7,0.728916101756688,10.2048254245936
40426,56.1,64.5,2,31.5,2,30.2,32.3,41.5,40.8,16.1,83.9,61,11.9,0,100.925147182506
39894,53.7,61,1.3,35.5,2.2,32,29.9,37.4,36.2,15.8,85.8,60,12.8,1.25332130144884,18.7998195217326
52773,54.6,65.4,1.3,30,3.4,38.1,33.3,31.8,41.5,19.6,82.2,64.9,11.2,0,4.9267617910674
30617,50.8,55.6,24,10.1,10.3,31,23.5,25.5,24.6,14.4,83.9,39.6,10.1,2.93954339092661,173.43306006467
54487,52.4,71.9,1.3,25.3,1.5,27.5,36.1,42.9,46.4,14.8,81.4,63.3,10.1,0.183530016334171,6.79061060436434
26690,55.2,70.8,1.5,26.1,1.5,40.8,36.5,41.5,47.4,17.4,79.8,66.9,12.2,0.749344323716748,3.74672161858374
52999,52.4,69.3,1.6,26.3,2.8,45,37.2,35.5,38.8,18,83.4,62,12,0.566048416007849,50.0009434140267
41804,53.6,57.6,11.2,17.4,13.7,42.4,34.2,27.7,29.4,14.3,84.6,52.5,9.6,1.91369246962013,288.489139795235
61934,54.7,24.8,2.5,68.8,3.9,39.1,10.1,22.6,23.9,18.5,86.2,43.5,14.9,0.322924403397165,16.630606774954
29368,52.8,35.4,2.5,47.1,15,28.7,14.8,18.9,17,13.3,89.3,38.7,10.3,0.340506673930809,3.40506673930809
29911,53.5,38.5,37,11.9,12.6,35.4,24.9,21.5,17.3,10.6,86.8,30.6,9,0.668650329310287,126.709237404299
49311,51.4,41.5,43.3,8.8,6.5,16.4,11.7,18,16,9.9,90,21.1,10.5,0,9.7341363995863
36966,51.3,62.2,2.1,24,11.7,42.5,34.7,41.2,35.5,13.5,78.9,53.8,12.5,0.270518855164205,3.78726397229887
27952,52.6,62.2,4.8,15.7,17.3,33.2,25.6,27.6,22.8,16.3,85.7,44.7,11.8,0,12.5214653692043
44266,53,18,16.3,60.1,5.5,42.2,7.1,16.4,15.5,13.4,86.2,28,14.9,0.451814033343876,15.3616771336918
37852,52.5,69.1,1.2,24.4,5.1,47.1,39.9,37,36.6,15.2,82.6,60,10.6,0.264186832928247,7.39723132199091
20756,54.6,67.3,1,30,1.7,34.2,24.9,37.8,44.7,18.4,85.4,61,12.7,0,1.92715359414145
51422,52.2,76,13.8,7.1,3,48,39.9,29.8,26.9,16.5,82.9,40.9,7,0.194469293298588,5.83407879895764
81355,53.9,23.8,7.9,62.3,5.9,22.3,11.6,21.4,30.2,17.1,84.7,41.1,11.7,0.122918075102944,30.2378464753242
51644,51.8,48,14.2,31.8,6,35.5,25,26.3,28.8,12,81.8,38.4,9.5,0.387266671830222,4.25993339013244
23155,52.5,56.7,9.7,28,5.6,39.1,29.5,33.5,33.1,9.1,83.1,42.4,8.5,0.431872165838912,3.02310516087238
55450,55.1,22.1,47.7,11.5,18.7,30.1,12.5,11.7,24.2,7.3,92.6,17.6,7,0.18034265103697,135.617673579802
48596,54.4,19.7,18.7,54.9,6.8,23.5,11.5,16.8,27.3,8.1,89.1,31.3,9.7,0.617334760062556,17.0795950283974
136740,54.8,16.2,65.7,8.1,10,22.2,8.5,6.8,10.8,6.5,92.4,12.1,3.2,0.0731314904197748,21.2081322217347
76034,49,14,63.1,6.1,16.7,22.9,8,5.8,12.6,6.6,93,15.7,3.4,0.657600547123655,39.0614724991451
59654,51.5,9.5,74.8,2.4,13.1,22.8,6.6,2.6,8,5.7,95.9,7,2.4,0,118.349146746237
41972,46.1,20.7,58.2,5.2,15.9,30.7,12,8.1,12.4,7.8,88.2,20.8,6.4,0.714762222434004,25.4931859334795
28305,52,7.7,63.9,4,24.5,33.3,10.5,3.8,13.4,5.6,93.6,15.7,3,1.05988341282459,195.018547959724
48998,55.3,6.8,74.3,1.9,17.1,24.7,5.3,2,6.2,4.3,96.1,3.7,2.4,0.816359851422507,73.8805665537369
47514,54.7,11.5,63.6,5,19.8,24.3,9.6,4.5,12.5,5.5,94.3,8.9,3.2,1.89417855789872,375.67874731658
27396,55.6,7,73,4,16,18.8,4.1,2.9,9.2,7.9,94.4,5.5,1.9,1.82508395386188,412.833990363557
43402,50.4,10.8,67.4,4.8,17,23.1,8.6,6.7,14.7,5.3,90.3,12.3,4.7,0.691212386525967,26.0356665591447
67521,50.3,5.9,80.6,2,11.6,18.2,3.3,1.4,6.9,5.3,95.6,4,1.9,0.148102071947987,37.6179262747886
42082,50.1,6.3,65.9,2.2,25.7,26.3,10.5,9.2,10,5,94,15.3,1.6,0.237631291288437,68.4378118910698
42485,51.6,9.1,65.3,2.9,22.7,29.3,7.3,4.1,7.6,4.3,94.5,11.1,2.4,0,114.628692479699
